Year,Neighborhood (*Boundaries for starred neighborhoods extend beyond city limits; only data within city limits calculated.),Median 2020 home sale price ($),Average Sale Price ($),Average cost per square foot ($),Days on market (avg.),Homes sold in 2020 (#),Total Condo Sales,Share of 2020 sales that were condos (%),1-year median price change 2019–20 (%),5-year median price change 2015–20 (%),Average year built of homes sold,Number of Short Sales,Number of Bank Owned,% Distressed Sales,Average square footage of homes sold,Renters’ median monthly housing ($),Population,Population density people per sq mile),Median age,Median household income ($),Homeownership (%),People below federal poverty level (%),Unemployed (16 years and older) (%),Households with children under 18 (%),Married (except separated) (%),Divorced (%),Widowed (%),Separated (%),Never Married (%),Population with bachelor degree as highest level of education (25 and older) (%),Population with graduate degree (25 and older) (%),English as only language (%),People who speak other language(s) (%),Population in same house last year (%),Population in different Oregon county last year (%),Population in different state last year (%),Population moved from abroad last year (%),Total newcomers (%),Assault,Homicide,Sex offenses,Arson,Robbery,Burglary,Larceny,Vehicle thefts,Vandalism,Drug/narcotic offenses,"Violent crimes per 1,000 residents","Burglary/larceny/vehicle theft crimes per 1,000 residents",Parks and natural areas (Acres),Minutes by car to downtown (est.),Number of transit lines (bus/MAX/streetcar/tram),Walk Score,Commute by public transit (%),Commute by walking (%),Commute by other non-car means (including cycling) (%)
2021,BRIDGETON,"309,000","330,998",210,90,32,2,6,6,24,1986,0,0,0,"1,579","1,595",63,235,44,"73,026",65,11,1,19,43.6,2.6,11.7,3.5,38.5,26.2,9.5,75.1,24.9,83.7,1.5,2.4,0.1,4,26,0,0,0,0,10,68,25,25,1,410,1625,1,16,2,21,10.3,1.1,3.7
2021,BRIDLEMILE*,"695,500","770,307",265,49,77,0,0,11,34,1973,0,0,0,"2,911","1,150","4,899",3509,45,"115,224",73,10,3,32,58.8,4.4,10.2,1,25.7,29.2,40.8,88.6,11.4,87.4,3.6,4.1,0.7,8.4,17,0,1,1,0,8,44,17,16,0,4,14,32,15,5,42,6.7,2.8,3.2
2021,BROOKLYN,"501,250","503,628",249,33,34,0,0,12,34,1931,0,1,2.94,"2,021","1,244","7,910",4607,40,"85,869",55,9,5,27,45.5,2.6,14.5,1.5,35.9,35.8,28.4,92.2,7.8,81.8,5.7,5.7,0.8,12.2,49,0,3,4,4,25,111,45,49,2,8,23,66,10,9,82,12.9,7,12.6
2021,BUCKMAN,"579,500","574,979",266,32,38,11,29,2,22,1935,0,0,0,"2,160","1,230","8,943",7749,34,"50,041",12,21,4,8,22.7,1.4,12.1,3,60.8,38.6,18.1,91.4,8.6,68.2,5.8,7.4,0.4,13.6,189,2,9,17,30,231,898,214,368,24,28,150,13,9,12,91,19.4,9.6,14.1
2021,CATHEDRAL PARK,"385,000","407,693",280,31,89,33,37,-1,35,1968,0,0,0,"1,457","1,245","5,113",4984,35,"72,427",56,12,3,23,34.9,3.9,15,1.1,45.1,32.6,18.6,86.5,13.5,81.6,1.3,5.4,0.2,6.9,40,0,0,1,6,31,120,39,36,3,9,37,64,19,4,79,9.3,2.5,4
2021,CENTENNIAL,"339,950","326,488",226,29,334,24,7,11,56,1967,1,0,0.3,"1,445","1,136","24,061",7370,35,"50,517",60,21,7,37,44,5,13.7,2,35.3,10.9,4.1,60.3,39.7,83.2,2.7,1.6,0.7,4.9,443,3,33,11,22,178,624,238,267,48,21,43,80,24,4,55,9.6,1.4,2.2
2021,COLLINS VIEW,"547,000","585,831",257,31,35,0,0,3,34,1967,0,0,0,"2,278","1,595","2,118",2437,32,"130,675",86,9,5,32,49.6,1.7,4.9,0.3,43.3,36.1,38.2,87.2,12.8,79.1,5.6,8.6,1.1,15.3,2,0,1,2,0,7,20,1,6,0,2,13,5,14,4,27,7.3,14,3.5
2021,CONCORDIA,"535,000","553,318",269,25,197,3,2,4,28,1946,0,0,0,"2,060","1,704","10,246",7723,38,"104,513",77,6,4,31,44.2,2.9,11.2,1.8,39.9,34.7,24.1,92.2,7.8,88,1.9,4.1,0.2,6.2,46,0,7,1,2,45,223,98,67,2,5,36,27,17,4,76,8.9,2.2,8.1
2021,CRESTON-KENILWORTH,"495,000","489,592",259,23,101,7,7,9,30,1941,0,0,0,"1,889","1,169","8,958",11160,34,"61,972",41,14,5,25,33.2,2.6,11.2,3.2,49.9,32.3,16.7,86.4,13.6,79.3,3.2,4.7,0.5,8.4,79,0,4,4,16,66,277,112,81,6,11,51,23,15,7,80,24,4.8,9.2
2021,CRESTWOOD,"475,000","483,384",257,26,39,0,0,14,38,1976,0,0,0,"1,880","1,781","1,503",4454,43,"109,022",87,3,4,30,54.5,4.5,20.5,0.3,20.1,35.2,31.3,92.4,7.6,85.1,2.3,4.1,0.5,7,10,0,0,4,4,16,1,0,0,0,12,11,55,14,4,45,4.6,0.5,0.1
2021,CULLY,"426,000","443,169",282,72,197,36,18,14,43,1965,1,0,0.51,"1,570","1,019","13,671",4356,36,"57,245",54,25,5,30,30.4,2.8,15.6,2.9,48.3,18.4,9.7,74.6,25.4,72.5,10.4,3.8,0.4,14.7,172,2,9,9,24,82,329,178,148,10,16,43,57,19,5,57,12.7,10.7,6.4
2021,DOWNTOWN,"362,250","424,088",406,76,114,114,100,-2,3,1981,1,0,0.88,"1,043","1,148","12,242",12985,41,"41,344",17,31,8,3,21.8,3.7,15.9,3,55.6,24.9,23,83.3,16.7,60.8,7.9,13.2,2.7,23.7,652,2,27,118,118,310,1561,130,948,65,75,163,42,0,40,96,25.7,33.9,4
2021,DUNTHORPE,"1,700,000","1,786,507",360,84,33,0,0,22,43,1967,0,0,0,"4,966","1,596","2,880",2457,32,"130,568",86,9,5,32,49.5,1.7,4.9,0.3,43.5,36.1,38.2,87.2,12.8,79,5.6,8.7,1.1,15.4,0,0,0,0,0,0,0,0,0,0,0,0,7,18,1,9,7.3,14.1,3.5
